country_clean,total_titles,avg_rating
"'RS', 'PL', 'RU'",1,6.4
"'CL', 'NL', 'FR'",1,7.7
"'IE', 'CA'",1,0
"'US', 'NL'",2,6.65
'TZ',3,7.57
"'IT', 'ES'",1,5
"'ID', 'MY', 'SG'",1,4.1
"'FR', 'LU', 'CA'",1,6.8
"'FR', 'QA', 'TN', 'BE'",1,6.5
"'PL', 'CH', 'AL', 'IT'",1,6.2
"'CZ', 'US'",1,6.3
"'AR', 'FR'",1,6
"'DE', 'IT'",1,7
"'IT', 'FR'",1,6.7
"'MX', 'FI'",1,5.7
"'CA', 'BR'",1,7.5
"'IN', 'MX'",1,4.7
"'BR', 'DK', 'FR', 'DE', 'PL', 'AR'",1,6.3
"'ZA', 'US', 'CA'",1,5.8
"'ES', 'BE'",1,0
'PY',1,5.9
"'US', 'NG'",2,6
"'US', 'BE', 'GB'",1,5.3
'ZW',1,6
"'IT', 'AR'",1,6.3
"'AT', 'IQ', 'US'",1,4.8
'GE',1,0
"'AR', 'IT'",1,5.6
"'NG', 'NO'",1,7
"'IS', 'GB'",1,6.3
"'MX', 'CO'",1,3.7
"'AR', 'US'",1,6.7
'KW',7,3.11
"'JP', 'GB'",1,0
"'TW', 'US'",1,7.1
"'NP', 'IN'",1,7.5
"'AU', 'US', 'CN'",1,6.4
"'FR', 'IN', 'SG'",1,6.8
"'LB', 'PS'",1,0
"'JP', 'US', 'CA'",1,3.8
'CM',2,5.45
"'BD', 'IN'",1,6.1
"'CA', 'ZA'",2,5.3
"'FR', 'PS', 'CH', 'QA'",1,7.1
"'NL', 'JO', 'DE'",1,6.6
"'GB', 'DK', 'GR'",1,0
"'MX', 'AR'",1,6.2
"'US', 'CL', 'MX'",1,4.8
'KG',1,7.1
'CH',2,3.35
'BD',2,7.15
'LU',1,6.6
"'ZA', 'GB'",1,8.1
"'BT', 'CN'",1,7.4
"'CA', 'HU', 'US'",1,7
"'BE', 'LT', 'NL'",1,7.1
"'IT', 'MC', 'US', 'CA'",1,6
"'CN', 'US', 'AU', 'CA'",1,4.7
"'BE', 'SE', 'GB'",1,7.7
"'GB', 'CZ', 'FR'",1,0
"'US', 'MW', 'GB'",1,7.6
"'US', 'CY'",1,2.9
"'BE', 'FR', 'SN'",1,6.7
"'BR', 'FR', 'ES', 'BE'",1,5.9
"'US', 'CH'",1,7.1
"'US', 'IL'",2,7.4
"'FR', 'LT', 'GB'",1,4.7
"'GB', 'IE'",1,5.7
"'GB', 'IT'",2,5.85
"'JO', 'TH', 'US', 'AL'",1,6.2
"'PT', 'US'",1,6.5
"'IL', 'US', 'FR', 'DE'",1,5.7
"'TW', 'MY'",1,6.2
"'US', 'CA', 'FR', 'ES'",1,8
"'FI', 'NO'",1,5.1
"'US', 'FR', 'JP'",2,3.3
"'GB', 'JP'",1,5.9
"'US', 'CN', 'GB'",1,6.7
"'US', 'FR', 'SE', 'GB', 'DE', 'DK', 'CA'",1,6.4
"'DE', 'AT'",1,0
"'US', 'TH'",1,4.4
"'PH', 'US'",1,6.5
"'BR', 'MX'",1,6.8
