actor,appearances
"Marvin Scott",1
"Ann Neville",1
"Joey Faye",1
"Linda Ipanema",1
"Tandy Cronyn",1
"Richard Zobel",1
"Baxter Harris",2
"Arnon Milchan",1
"Marty Licata",1
"Estelle Harris",1
"Gerritt Debeer",1
"Alexander Godfrey",1
"Cliff Cudney",1
"Paul Farentino",1
"Bruce Bahrenburg",1
"Mort Freeman",1
"Massimo Liti",1
"Jay Zeely",1
"Salvatore Billa",1
"Greg Anthony",1
"Scott Coffey",1
"Matteo Cafiso",1
"Nunzio Giuliani",1
"Nelson Camp",1
"Dario Iori",1
"Ole Jorgensen",1
"Francesca Leone",1
"Ron Nummi",1
"Ryan Paris",1
"Nicola Roberto",1
"Gianni Sanjust",1
"Alex Serra",1
"Susan Spafford",1
"Mark Frazer",1
"Maria Pia Monicelli",1
"Louise Fletcher",1
"Claudio Mancini",1
"Billy Crystal",2
"Meg Ryan",2
"Carrie Fisher",2
"Bruno Kirby",2
"Steven Ford",3
"Lisa Jane Persky",1
"Michelle Nicastro",1
"Gretchen Palmer",1
"Robert Alan Beuth",2
"David Burdick",1
"Joe Viviani",1
"Harley Jane Kozak",1
"Joseph Hunt",1
"Kevin Rooney",1
"Franc Luz",1
"Tracy Reiner",1
"Kyle T. Heffner",1
"Kimberley LaMarque",1
"Stacey Katzin",1
"Estelle Reiner",1
"John Arceri",1
"Connie Sawyer",3
"Kuno Sponholz",1
"Katherine Squire",1
"Frances Chaney",1
"Bernie Hern",1
"Rose Wright",1
"Aldo Rossi",1
"Dona Hardy",1
"Peter Pan",1
"Jane Chung",1
"Bob Ader",1
"Jeff Dlugolecki",1
"Nicholas Glaeser",1
"Randy James",1
"Stanley Moore",3
"Larry Sherman",1
"Marilyn Spanier",1
"John Speredakos",2
"Terry Vaughan",1
"Anthony Welch",2
"Heather Langenkamp",2
"Robert Englund",4
"John Saxon",1
"Ronee Blakley",2
"Amanda Wyss",1
"Jsu Garcia",1
"Johnny Depp",5
"Charles Fleischer",1
"Joseph Whipp",1
"Lin Shaye",6
"Joe Unger",1
"Mimi Craven",1
"Jack Shea",1
"Ed Call",1
"Sandy Lipton",1
"David Andrews",2
"Jeff Levine",1
"Donna Woodrum",1
"Shashawnee Hall",2
"Carol Pritikin",1
"Brian Reise",1
"Ash Adams",1
"Don Hannah",1
"Leslie Hoffman",1
"Paul Grenier",1
"Kathi Gibbs",1
"Chris Tashima",1
"Antonia Yannouli",1
"John Richard Petersen",2
"Robert Shaye",2
"Sally Field",6
"Dolly Parton",6
"Shirley MacLaine",2
"Daryl Hannah",2
"Olympia Dukakis",2
"Julia Roberts",2
"Tom Skerritt",3
"Sam Shepard",2
"Dylan McDermott",4
"Kevin J. O'Connor",2
"Bill McCutcheon",1
"Ann Wedgeworth",1
"Knowl Johnson",1
"Jonathan Ward",2
"Bibi Besch",1
"Janine Turner",3
"James Wlcek",1
"Ronald Young",1
"Nancy Parsons",1
"Robert Ginnaven",1
"Tom Hodges",1
"Rick Hurst",2
"Robert Harling",1
"Clara Gabrielle",1
"Daniel Camp",1
"Lori Tate",1
"Robert Adams",1
"Carol Sutton",3
"Aja Sansone",1
"Rodney Alan Fulton",1
"Spencer Henderson",1
"Sandra Asbury-Johnson",1
"Gale J. Odom",1
"Betsy Widhalm",1
"Oscar J. Bienvenu Jr.",1
"Teresa Beaudion",1
"Gladys Mallard",1
"Betty J. Dove",1
"Travis Harrison",1
"James Shapkoff III",1
"Walker May",1
"Robert R. Morgan",1
"Roger D. McCann",1
"Debbie McCann",1
"Trent Dawson",1
"Steve Guttenberg",1
"Kim Cattrall",1
"G.W. Bailey",1
"Bubba Smith",1
"Donovan Scott",1
"George Gaynes",1
"Andrew Rubin",1
"David Graf",1
"Leslie Easterbrook",2
"Michael Winslow",2
"Bruce Mahler",1
"Ted Ross",1
"Scott Thomson",1
"Brant von Hoffman",1
"Marion Ramsey",1
"Roger Dunn",1
"Joyce Gordon",1
"Georgina Spelvin",1
"Hugh Wilson",1
"T.J. Scott",1
"John Sampson",1
"Dar Robinson",1
"Kay Hawtrey",1
"John Hawkes",3
"Charles W. Gray",1
"Suzanne Barker",1
"Dwayne McLean",2
"Danny Lima",2
"Danny Pawlick",1
"Bob Collins",2
"Gene Mack",2
"Gino Marrocco",1
"David Clement",1
"J. Winston Carroll",1
"Wally Bondarenko",1
"F. Braun McAsh",1
"Marco Bianco",1
"Fred Brigham",1
"James Bearden",1
"Gary Farmer",1
"Barry Greene",1
"Araby Lockhart",1
"Beth Amos",1
"Bruce McFee",1
"Michael J. Reynolds",1
"Don Lake",3
"George R. Robertson",1
"Doug Lennox",1
"Wink Roberts",1
"Keith Gordon",1
"John Stockwell",1
"Alexandra Paul",1
"Robert Prosky",2
"Harry Dean Stanton",1
"Christine Belford",1
"Roberts Blossom",2
"William Ostrander",1
"David Spielberg",1
"Malcolm Danare",1
"Steven Tash",1
"Stuart Charno",1
"Kelly Preston",2
"Marc Poppel",1
"Robert Darnell",1
"Douglas Warhit",1
"Richard Collier",1
"Bruce French",1
"Keri Montgomery",1
"Jan Burrell",1
"Charles Steak",1
"Art Evans",1
"David Hasselhoff",4
"Edward Mulhare",2
"Patricia McPherson",1
"Peter Parros",1
"Rachael Louise Miller",1
"Mark-Paul Gosselaar",1
"Mario López",3
"Dustin Diamond",1
"Lark Voorhies",1
"Dennis Haskins",1
"Robin Williams",3
"John Heard",2
"Julie Kavner",1
"Penelope Ann Miller",2
"Ruth Nelson",1
"Max von Sydow",1
"Anne Meara",1
"Dexter Gordon",1
"George Martin",2
"Alice Drummond",1
"Richard Libertini",1
"Laura Esterman",1
"Barton Heyman",1
"Judith Malina",1
"Mary Alice",1
"Keith Diamond",1
"Bradley Whitford",5
"John Christopher Jones",1
"Mary Catherine Wright",1
"Jayne Haynes",1
"Le Clanché du Rand",1
"Yusef Bulos",1
"Steven Randazzo",2
"Gloria Harper",1
"Gwyllum Evans",1
"Steve Vinovich",3
"Tiger Haynes",2
"Harvey Miller",1
"Tanya Berezin",1
"Peter Stormare",3
"Shane Fistell",1
"Waheedah Ahmad",1
"Charles Keating",1
"Christina Huertes",1
"Linda Burns",1
"Judy Jacksina",1
"Gary Tacon",1
"Rico Elias",1
"Mel Gorham",1
"Chris Carolan",1
"Debra Kovner-Zaks",1
"Vin Diesel",1
"Max Rabinowitz",1
"Byron Utley",2
"Anthony McGowen",1
"Paul Montgomery",1
"Leonard Tepper",1
"Howard Feller",1
"Libby Titus",1
"Michael Hyde",1
"Tomislav Novakovic",1
"Adam Bryant",1
"Anthony J. Nici",1
"Oliver Block",1
"Buck Smith",1
"Joan E. MacIntosh",1
"Harry L. Seddon",2
"Jack Mulcahy",1
"Vanna White",1
"Pat Sajak",1
"Chevy Chase",4
"Beverly D'Angelo",2
"Juliette Lewis",7
"Johnny Galecki",3
